epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6553199887275696,0.9115951657295227,0.001,0.7879999876022339,0.6058086156845093
1,0.8306400179862976,0.5125982761383057,0.001,0.853600025177002,0.43903836607933044
2,0.8733999729156494,0.3910944163799286,0.001,0.8682399988174438,0.40592989325523376
3,0.8949900269508362,0.32848960161209106,0.001,0.9007999897003174,0.2957944869995117
4,0.9070550203323364,0.29130154848098755,0.001,0.8966400027275085,0.3267451226711273
5,0.9163399934768677,0.264754980802536,0.001,0.9280400276184082,0.22806209325790405
6,0.9227100014686584,0.2429666966199875,0.001,0.9330400228500366,0.20748941600322723
7,0.9282600283622742,0.22751158475875854,0.001,0.9441999793052673,0.1825636774301529
8,0.9332200288772583,0.21336109936237335,0.001,0.9329599738121033,0.2184951901435852
9,0.9353799819946289,0.20401492714881897,0.001,0.9440400004386902,0.18063758313655853
10,0.9390599727630615,0.19216503202915192,0.001,0.9524800181388855,0.1554042249917984
11,0.9410250186920166,0.1860702931880951,0.001,0.9410399794578552,0.18258406221866608
12,0.9446750283241272,0.17668433487415314,0.001,0.9577199816703796,0.13813799619674683
13,0.9467200040817261,0.1699070930480957,0.001,0.95660001039505,0.13969911634922028
14,0.9486899971961975,0.16318388283252716,0.001,0.9527999758720398,0.15406569838523865
15,0.9534850120544434,0.14884181320667267,0.0005,0.9599199891090393,0.13566413521766663
16,0.9535300135612488,0.1480817049741745,0.0005,0.9619600176811218,0.12894891202449799
17,0.9549750089645386,0.14351728558540344,0.0005,0.959879994392395,0.13425852358341217
18,0.9558749794960022,0.14151272177696228,0.0005,0.9598399996757507,0.13165390491485596
19,0.9581900238990784,0.13351759314537048,0.00025,0.9627599716186523,0.1216774508357048
20,0.9586049914360046,0.13232943415641785,0.00025,0.9648000001907349,0.11819852888584137
21,0.9590250253677368,0.13124454021453857,0.00025,0.9650400280952454,0.11921980232000351
22,0.9587349891662598,0.13115203380584717,0.00025,0.9604399800300598,0.12955337762832642
23,0.9602000117301941,0.1266193687915802,0.000125,0.9656000137329102,0.1158330962061882
24,0.9604300260543823,0.12690453231334686,0.000125,0.9641199707984924,0.12411992996931076
25,0.9608299732208252,0.12477937340736389,0.000125,0.9628000259399414,0.12410085648298264
26,0.9614149928092957,0.12251880019903183,6.25e-05,0.9643200039863586,0.12036600708961487
27,0.9613149762153625,0.12293203175067902,6.25e-05,0.9641600251197815,0.12022697925567627
28,0.9618449807167053,0.12142613530158997,3.125e-05,0.9640399813652039,0.11999478191137314
